name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,engine,seats
Mahindra Xylo D2,2010,2192,255000,Diesel,Individual,Manual,Second Owner,2489 CC,8
Chevrolet Optra Magnum 2.0 LT BS3,2008,3082,120000,Diesel,Individual,Manual,Second Owner,1991 CC,5
Maruti Alto 800 LXI,2015,3699,49900,Petrol,Individual,Manual,Second Owner,796 CC,5
Tata Manza Aura Quadrajet BS IV,2012,4247,86000,Diesel,Individual,Manual,First Owner,1248 CC,5
Datsun GO T BSIV,2015,3082,71850,Petrol,Individual,Manual,First Owner,1198 CC,5
Fiat Grande Punto EVO 1.3 Dynamic,2015,4110,95000,Diesel,Individual,Manual,Third Owner,1248 CC,5
Maruti Swift Dzire VXi,2008,3425,70000,Petrol,Individual,Manual,Fourth & Above Owner,1298 CC,5
Hyundai EON Sportz,2011,2466,35000,Petrol,Individual,Manual,First Owner,814 CC,5
Maruti Swift Dzire VXI,2015,7534,50000,Petrol,Individual,Manual,First Owner,1197 CC,5
Mahindra Bolero XL 10 Seater Non AC,2007,4110,120000,Diesel,Individual,Manual,Third Owner,2523 CC,7
Hyundai Elantra CRDi SX,2015,12329,145000,Diesel,Individual,Manual,First Owner,1582 CC,5
Tata Sumo EX BS IV,2012,3493,190000,Diesel,Individual,Manual,Third Owner,,
Mahindra XUV500 W9 2WD,2018,20959,40000,Diesel,Individual,Manual,First Owner,2179 CC,7
Maruti Baleno Delta 1.3,2015,8082,110000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Wagon R LXI DUO BSIII,2008,2329,112000,LPG,Individual,Manual,Second Owner,1061 CC,5
Audi A3 35 TDI Premium Plus,2017,35616,70000,Diesel,Individual,Automatic,First Owner,1968 CC,5
Maruti Ritz VDi,2016,6507,110000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Grand i10 1.2 CRDi Asta,2018,9589,29000,Diesel,Individual,Manual,First Owner,1186 CC,5
Maruti Wagon R VXI BS IV,2011,5151,60000,Petrol,Individual,Manual,First Owner,998 CC,5
Hyundai Santro GS zipDrive - Euro I,2002,1370,120000,Petrol,Individual,Manual,Fourth & Above Owner,,
Maruti 800 Std BSII,2004,1027,46000,Petrol,Individual,Manual,Fourth & Above Owner,796 CC,4
Mahindra Scorpio VLS AT 2.2 mHAWK,2012,6027,120000,Diesel,Individual,Automatic,Third Owner,2179 CC,8
Maruti Wagon R VXI Optional,2016,5342,80000,Petrol,Individual,Manual,First Owner,998 CC,5
Toyota Innova 2.5 VX 7 STR,2012,9932,159000,Diesel,Individual,Manual,Second Owner,2494 CC,7
Mahindra Bolero 2011-2019 SLE,2012,4452,110000,Diesel,Individual,Manual,Second Owner,2523 CC,7
Maruti Alto LXi,2010,2329,75000,Petrol,Individual,Manual,Second Owner,796 CC,5
Maruti Swift Dzire LDi,2010,2945,120000,Diesel,Individual,Manual,Third Owner,1248 CC,5
Honda City 1.5 V Inspire,2010,4795,110000,Petrol,Individual,Manual,Third Owner,1497 CC,5
Chevrolet Spark 1.0 LS,2009,1096,80000,Petrol,Individual,Manual,Fourth & Above Owner,995 CC,5
Hyundai EON Magna Plus,2012,2671,80000,Petrol,Individual,Manual,Second Owner,814 CC,5
Maruti Swift VDI BSIV W ABS,2011,3836,85000,Diesel,Individual,Manual,First Owner,,
Nissan Sunny Diesel XL,2014,4589,71000,Diesel,Dealer,Manual,First Owner,1461 CC,5
Mahindra XUV500 W6 2WD,2011,6507,108000,Diesel,Dealer,Manual,First Owner,2179 CC,7
Renault Duster 85PS Diesel RxL,2015,6644,75000,Diesel,Dealer,Manual,First Owner,1461 CC,5
Maruti Ciaz Delta BSIV,2018,8904,22000,Petrol,Individual,Manual,Second Owner,1462 CC,5
Audi Q5 3.0 TDI Quattro,2014,25342,76131,Diesel,Individual,Automatic,First Owner,2967 CC,5
Hyundai i20 1.2 Asta,2018,9589,30000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Audi Q7 3.0 TDI Quattro,2014,41096,65000,Diesel,Individual,Automatic,First Owner,2967 CC,7
Mahindra Scorpio S3 9 Seater BSIV,2018,12329,60000,Diesel,Individual,Manual,First Owner,2523 CC,7
Volkswagen Polo Diesel Highline 1.2L,2013,4795,80000,Diesel,Individual,Manual,First Owner,1199 CC,5
Honda Accord V6 AT,2005,3904,80000,Petrol,Individual,Automatic,Second Owner,2997 CC,5
Audi Q7 3.0 TDI Quattro Premium Plus,2012,25342,70000,Diesel,Individual,Automatic,First Owner,2967 CC,7
Maruti Vitara Brezza VDi,2017,10274,51777,Diesel,Dealer,Manual,First Owner,1248 CC,5
Land Rover Freelander 2 TD4 HSE,2013,22603,64788,Diesel,Dealer,Automatic,First Owner,2179 CC,5
Honda Amaze V Petrol BSIV,2018,8219,20000,Petrol,Individual,Manual,First Owner,1199 CC,5
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2018,7740,19000,Petrol,Individual,Manual,First Owner,999 CC,5
Daewoo Matiz SS,2000,1178,46951,Petrol,Individual,Manual,First Owner,796 CC,5
Datsun GO T BSIV,2016,4507,19000,Petrol,Individual,Manual,First Owner,1198 CC,5
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,8904,50000,Diesel,Individual,Manual,First Owner,1498 CC,5
Hyundai Creta 1.6 CRDi SX Option,2015,11260,60000,Diesel,Individual,Manual,First Owner,1582 CC,5
Renault Duster 110PS Diesel RxL,2013,4726,100000,Diesel,Individual,Manual,Second Owner,1461 CC,5
Maruti Zen LXI,2001,411,10000,Petrol,Individual,Manual,First Owner,993 CC,5
Maruti Swift VDI,2012,4521,50000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Maruti Wagon R Stingray VXI,2014,4110,74537,Petrol,Individual,Manual,Second Owner,998 CC,5
Maruti SX4 ZXI AT,2009,2740,90000,Petrol,Individual,Automatic,Second Owner,1586 CC,5
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,2740,80000,Diesel,Individual,Manual,Second Owner,,
Chevrolet Spark 1.0,2010,1233,70000,Petrol,Individual,Manual,Second Owner,995 CC,5
Maruti Wagon R VXI Minor,2010,2740,80000,Petrol,Individual,Manual,Second Owner,1061 CC,5
Hyundai Xcent 1.1 CRDi SX,2016,7534,35000,Diesel,Individual,Manual,First Owner,1120 CC,5
Chevrolet Beat LT,2015,3425,23500,Petrol,Individual,Manual,First Owner,1199 CC,5
Honda City i-DTEC VX,2017,13356,82000,Diesel,Individual,Manual,First Owner,1498 CC,5
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,12329,100000,Diesel,Individual,Manual,Second Owner,2494 CC,8
Hyundai i20 1.2 Spotz,2018,8356,15000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Baleno Zeta 1.3,2017,8493,30000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Grand i10 Sportz,2016,5479,30000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Celerio X ZXI BSIV,2019,6849,11000,Petrol,Individual,Manual,First Owner,998 CC,5
Datsun GO Plus T,2017,2740,140000,Petrol,Individual,Manual,First Owner,1198 CC,7
Tata Zest Quadrajet 1.3 XM,2016,4932,110000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Alto K10 2010-2014 VXI,2012,3452,48000,Petrol,Individual,Manual,First Owner,998 CC,5
Maruti Swift VDI,2012,3836,70000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Maruti Swift VXI 2018,2018,6986,70000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Mahindra Scorpio 1.99 S6 Plus,2016,14384,58000,Diesel,Individual,Manual,First Owner,1997 CC,7
Maruti Wagon R LXI DUO BSIII,2010,2740,40000,LPG,Individual,Manual,Fourth & Above Owner,1061 CC,5
Maruti Zen LXI,2005,822,90000,Petrol,Individual,Manual,Second Owner,993 CC,5
Mahindra Xylo E8 ABS Airbag,2010,4384,40000,Diesel,Individual,Manual,Second Owner,2498 CC,7
Mahindra Scorpio LX,2013,7123,110000,Diesel,Individual,Manual,First Owner,2179 CC,9
Tata New Safari DICOR 2.2 LX 4x2,2007,3425,80000,Diesel,Individual,Manual,Second Owner,2179 CC,7
Maruti Vitara Brezza ZDi,2017,9932,60000,Diesel,Individual,Manual,First Owner,1248 CC,5
Mahindra Bolero 2011-2019 SLX,2015,8014,50000,Diesel,Individual,Manual,First Owner,2523 CC,7
Tata Tiago 1.2 Revotron XZ,2017,5890,25000,Petrol,Individual,Manual,First Owner,1199 CC,5
Maruti Swift VDI,2011,3219,100000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Maruti Swift Dzire VDi,2012,4795,52000,Diesel,Individual,Manual,Third Owner,1248 CC,5
Hyundai i10 Era 1.1,2010,1795,80000,Petrol,Individual,Manual,Third Owner,1086 CC,5
Honda Amaze VX i-DTEC,2016,6164,85000,Diesel,Individual,Manual,First Owner,1498 CC,5
Maruti Vitara Brezza ZDi Plus,2016,10274,83000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Alto 800 LXI,2013,2740,50000,Petrol,Individual,Manual,First Owner,796 CC,5
Maruti Wagon R LXI Minor,2009,1712,120000,Petrol,Individual,Manual,Fourth & Above Owner,1061 CC,5
Mahindra Bolero 2011-2019 SLE,2014,6849,100000,Diesel,Individual,Manual,First Owner,2523 CC,7
Maruti Swift VDI,2012,5205,70000,Diesel,Individual,Manual,Third Owner,1248 CC,5
Maruti Alto LXi,2008,1753,19000,Petrol,Individual,Manual,First Owner,796 CC,5
Honda City 1.5 S MT,2009,3425,68600,Petrol,Individual,Manual,Third Owner,1497 CC,5
Mahindra Bolero Power Plus SLX,2017,9452,60000,Diesel,Individual,Manual,First Owner,1493 CC,7
Mahindra Bolero 2011-2019 SLX,2014,8904,65000,Diesel,Individual,Manual,Second Owner,2523 CC,7
Honda City E,2012,7671,40000,Petrol,Individual,Manual,Second Owner,1497 CC,5
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,1644,160000,Diesel,Individual,Manual,Second Owner,,
Maruti Celerio VXI,2016,5479,25000,Petrol,Individual,Manual,First Owner,998 CC,5
Maruti Alto K10 LXI,2012,2740,29500,Petrol,Individual,Manual,First Owner,998 CC,5
Hyundai Verna VTVT 1.6 SX,2018,13014,13887,Petrol,Individual,Manual,First Owner,1591 CC,5
Maruti Alto 800 VXI,2016,4110,50000,Petrol,Individual,Manual,Second Owner,796 CC,5
Renault KWID RXL,2016,4315,30000,Petrol,Individual,Manual,Second Owner,799 CC,5
Maruti Alto 800 LXI,2012,3014,100000,Petrol,Individual,Manual,First Owner,796 CC,5
Chevrolet Aveo 1.4 LS,2011,1781,60000,Petrol,Individual,Manual,Second Owner,1399 CC,5
Hyundai i20 Sportz Option 1.4 CRDi,2016,8151,60000,Diesel,Individual,Manual,Second Owner,1396 CC,5
Tata Indica Vista TDI LS,2011,1507,120000,Diesel,Individual,Manual,First Owner,1405 CC,5
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,9315,13500,Petrol,Individual,Manual,First Owner,1497 CC,5
Fiat Grande Punto Active (Diesel),2013,3836,52000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Baleno Delta 1.2,2017,7260,30000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Hyundai Xcent 1.2 Kappa SX Option,2017,8356,14000,Petrol,Individual,Manual,First Owner,1197 CC,5
Tata Aria Pure LX 4x2,2014,6849,90000,Diesel,Individual,Manual,Second Owner,2179 CC,7
Tata Tigor 1.05 Revotorq XM,2018,6849,50000,Diesel,Individual,Manual,First Owner,1047 CC,5
Mahindra Xylo D2,2010,3425,120000,Diesel,Individual,Manual,Second Owner,2489 CC,8
Hyundai EON Magna Plus,2018,4452,10000,Petrol,Individual,Manual,First Owner,814 CC,5
Maruti Baleno Delta 1.2,2018,7534,10000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Ciaz 1.4 Alpha,2018,9863,25000,Petrol,Individual,Manual,First Owner,1373 CC,5
Hyundai Verna VTVT 1.6 SX,2017,13014,20000,Petrol,Individual,Manual,First Owner,1591 CC,5
Maruti Swift VDI,2013,4795,60000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Grand i10 1.2 Kappa Sportz Option,2018,6849,40000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Swift Dzire VDi,2012,5205,60000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Xcent 1.2 Kappa AT SX Option,2015,5205,50000,Petrol,Individual,Automatic,First Owner,1197 CC,5
Hyundai Verna VTVT 1.6 SX,2017,12329,20000,Petrol,Individual,Manual,First Owner,1591 CC,5
Maruti Alto 800 VXI,2017,4041,35000,Petrol,Individual,Manual,First Owner,796 CC,5
Maruti Ciaz VDi Plus SHVS,2016,8767,40000,Diesel,Individual,Manual,First Owner,1248 CC,5
Tata Nexon 1.5 Revotorq XZ Plus,2018,10822,60000,Diesel,Individual,Manual,First Owner,1497 CC,5
Hyundai Verna 1.6 VTVT S Option,2015,8562,20000,Petrol,Individual,Manual,First Owner,1591 CC,5
Ford EcoSport 1.5 Petrol Trend BSIV,2017,8274,30000,Petrol,Individual,Manual,Second Owner,1497 CC,5
Maruti Alto K10 VXI,2015,4315,29000,Petrol,Individual,Manual,First Owner,998 CC,5
Mahindra XUV300 W6 Diesel BSIV,2019,13014,17000,Diesel,Individual,Manual,First Owner,1497 CC,5
Maruti Wagon R VXI Plus Optional,2017,5479,50000,Petrol,Individual,Manual,First Owner,998 CC,5
Hyundai i20 1.4 Magna AT,2018,9589,42000,Petrol,Individual,Automatic,First Owner,1368 CC,5
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,9589,120000,Diesel,Individual,Manual,Second Owner,2494 CC,8
Mahindra Verito 1.5 D4 BSIV,2012,3562,110000,Diesel,Individual,Manual,First Owner,1461 CC,5
Tata Indigo CR4,2012,2740,90000,Diesel,Individual,Manual,First Owner,1396 CC,5
Maruti Dzire VXI,2020,7945,70000,Petrol,Individual,Manual,First Owner,1197 CC,5
Volkswagen Vento IPL II Diesel Trendline,2011,4521,66000,Diesel,Individual,Manual,Second Owner,1598 CC,5
Hyundai Verna Transform CRDi VGT SX ABS,2011,5479,70000,Diesel,Individual,Manual,Third Owner,1493 CC,5
Hyundai Creta 1.6 SX Automatic,2018,18493,5000,Petrol,Individual,Automatic,First Owner,1591 CC,5
Mahindra Verito 1.5 D4 BSIV,2014,3425,50000,Diesel,Individual,Manual,Second Owner,1461 CC,5
Skoda Rapid 1.6 MPI Ambition BSIV,2019,9932,25000,Petrol,Individual,Manual,First Owner,1598 CC,5
Maruti Swift Dzire Tour LDI,2013,4110,70000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti 800 AC,2006,1644,40000,Petrol,Individual,Manual,Second Owner,796 CC,4
Mahindra XUV500 W10 2WD,2016,16096,110000,Diesel,Individual,Manual,First Owner,2179 CC,7
Tata New Safari DICOR 2.2 VX 4x4,2009,5205,150000,Diesel,Individual,Manual,First Owner,2179 CC,7
Tata Indica Vista TDI LX,2014,5479,45000,Diesel,Individual,Manual,First Owner,1405 CC,5
Tata Indigo LX,2005,1918,90000,Diesel,Individual,Manual,Third Owner,1405 CC,5
Tata New Safari DICOR 2.2 EX 4x2,2011,3151,140000,Diesel,Individual,Manual,Second Owner,2179 CC,7
Ford Ikon 1.3 CLXi,2003,1507,83000,Petrol,Individual,Manual,Second Owner,1299 CC,5
Volkswagen Jetta 2.0L TDI Highline AT,2011,7534,106000,Diesel,Individual,Automatic,Second Owner,1968 CC,5
Chevrolet Aveo U-VA 1.2 LS,2008,2055,60000,Petrol,Individual,Manual,Fourth & Above Owner,1150 CC,5
Maruti Omni E MPI STD BS IV,2017,3630,40000,Petrol,Individual,Manual,Second Owner,796 CC,8
Hyundai i20 1.2 Asta,2011,4110,138000,Petrol,Individual,Manual,Third Owner,1197 CC,5
Maruti Alto 800 LXI,2015,3836,80000,Petrol,Individual,Manual,First Owner,796 CC,5
Hyundai Getz GLS,2005,1781,50000,Petrol,Individual,Manual,Second Owner,1341 CC,5
Chevrolet Sail 1.2 LS ABS,2015,4795,50000,Petrol,Individual,Manual,First Owner,1199 CC,5
Maruti Ritz VXi,2009,2740,120000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Swift VXI,2018,7534,24400,Petrol,Individual,Manual,First Owner,1197 CC,5
Mahindra Bolero 2011-2019 SLX,2013,5479,60000,Diesel,Individual,Manual,Second Owner,2523 CC,7
Maruti Ritz VXi (ABS) BS IV,2010,2329,120000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Hyundai Verna 1.4 CRDi,2015,8219,60000,Diesel,Individual,Manual,Second Owner,1396 CC,5
Maruti Alto LXi,2011,1781,100000,Petrol,Individual,Manual,Second Owner,796 CC,5
Hyundai Santro Xing GL PLUS CNG,2007,1644,60000,CNG,Individual,Manual,Second Owner,,
Maruti 800 AC,2011,1370,120000,Petrol,Individual,Manual,Second Owner,796 CC,4
Renault KWID RXT,2016,4247,27500,Petrol,Individual,Manual,First Owner,799 CC,5
Maruti 800 AC,2007,479,10000,Petrol,Individual,Manual,First Owner,796 CC,4
Hyundai i20 Magna,2010,2740,120000,Petrol,Individual,Manual,Third Owner,1197 CC,5
Maruti Swift VDI BSIV,2009,3699,70000,Diesel,Individual,Manual,Second Owner,,
Hyundai i20 Sportz 1.4 CRDi,2015,8904,80000,Diesel,Individual,Manual,First Owner,1396 CC,5
Tata Indigo eCS GLS,2013,2877,120000,Petrol,Individual,Manual,First Owner,1193 CC,5
Hyundai Xcent 1.1 CRDi S Option,2015,6986,90000,Diesel,Individual,Manual,First Owner,1120 CC,5
Ford Figo Diesel Celebration Edition,2013,3151,70000,Diesel,Individual,Manual,First Owner,1399 CC,5
Renault Duster 110PS Diesel RxZ,2014,5616,188000,Diesel,Individual,Manual,Second Owner,1461 CC,5
Chevrolet Spark 1.0 LT,2011,1781,67840,Petrol,Individual,Manual,First Owner,995 CC,5
Tata Nano CX,2013,1301,30000,Petrol,Individual,Manual,First Owner,624 CC,4
Maruti Alto 800 LXI,2016,3082,35000,Petrol,Individual,Manual,Second Owner,796 CC,5
Maruti Swift VDI BSIV,2010,3521,150000,Diesel,Individual,Manual,Second Owner,,
Maruti Vitara Brezza VDi Option,2017,10616,100000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Wagon R VXI BS IV,2017,5753,30000,Petrol,Individual,Manual,First Owner,998 CC,5
Hyundai Grand i10 Sportz Celebration Edition,2016,6575,70000,Petrol,Individual,Manual,First Owner,1197 CC,5
Toyota Qualis GS G1,2003,2740,149032,Diesel,Individual,Manual,First Owner,,
Mahindra Bolero SLE,2010,3562,380000,Diesel,Individual,Manual,Second Owner,2523 CC,7
Toyota Etios Liva G,2011,2877,84050,Petrol,Individual,Manual,First Owner,,
Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2018,8219,15000,Petrol,Individual,Manual,First Owner,1199 CC,5
Ford Ikon 1.4 TDCi DuraTorq,2009,1918,140000,Diesel,Individual,Manual,Second Owner,1399 CC,5
Maruti Omni 8 Seater BSII,2010,1781,120000,Petrol,Individual,Manual,Third Owner,796 CC,8
Maruti Swift VDI BSIV,2007,2671,112880,Diesel,Dealer,Manual,First Owner,1248 CC,5
Tata Indica Vista TDI LS,2013,2877,135000,Diesel,Dealer,Manual,Second Owner,1405 CC,5
Maruti Wagon R LX,2006,1781,80000,Petrol,Individual,Manual,Third Owner,998 CC,5
Chevrolet Beat LT,2012,1932,128000,Petrol,Individual,Manual,Third Owner,1199 CC,5
Mahindra Bolero SLE BSIII,2011,3836,120000,Diesel,Individual,Manual,First Owner,2523 CC,7
Maruti SX4 ZXI AT Leather,2010,4795,30000,Petrol,Individual,Automatic,First Owner,1586 CC,5
Tata Nexon 1.2 Revotron XM,2018,7877,70000,Petrol,Individual,Manual,First Owner,1198 CC,5
Hyundai i20 Sportz Option 1.2,2015,7534,41000,Petrol,Individual,Manual,First Owner,1197 CC,5
Toyota Etios V,2011,5753,28100,Petrol,Individual,Manual,First Owner,,
Maruti Alto LX,2006,1644,30000,Petrol,Individual,Manual,Second Owner,796 CC,5
Maruti Alto K10 VXI,2015,4384,30000,Petrol,Individual,Manual,First Owner,998 CC,5
Hyundai Accent Executive,2011,3425,35000,Petrol,Individual,Manual,First Owner,1495 CC,5
Maruti SX4 Zxi BSIII,2010,4110,22000,Petrol,Individual,Manual,First Owner,1586 CC,5
Maruti Wagon R VXI,2006,3425,70000,Petrol,Individual,Manual,First Owner,998 CC,5
Maruti Omni E 8 Str STD,2005,1644,100000,Petrol,Individual,Manual,Second Owner,,
Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2018,10274,70000,Diesel,Individual,Manual,First Owner,1493 CC,7
Mahindra Scorpio 2.6 CRDe,2005,2068,200000,Diesel,Individual,Manual,Second Owner,2179 CC,8
Tata Safari DICOR 2.2 EX 4x2,2011,4110,120000,Diesel,Individual,Manual,First Owner,2179 CC,7
Maruti Ignis 1.2 Zeta BSIV,2019,7904,3000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Alto K10 2010-2014 VXI,2012,3151,50000,Petrol,Individual,Manual,First Owner,998 CC,5
Mahindra Bolero 2011-2019 ZLX,2013,6849,50000,Diesel,Individual,Manual,First Owner,2523 CC,7
Honda Jazz VX CVT,2019,11507,1500,Petrol,Individual,Automatic,First Owner,1199 CC,5
Volkswagen Vento 1.5 TDI Highline,2017,12329,74000,Diesel,Individual,Manual,First Owner,1498 CC,5
Honda Jazz 1.2 V i VTEC,2017,8904,25000,Petrol,Individual,Manual,First Owner,1199 CC,5
Honda Jazz 1.5 VX i DTEC,2016,8904,61915,Diesel,Individual,Manual,First Owner,1498 CC,5
Hyundai EON Era Plus,2016,3425,110000,Petrol,Individual,Manual,First Owner,814 CC,5
Volkswagen Polo 1.5 TDI Comfortline,2016,7534,70000,Diesel,Individual,Manual,First Owner,1498 CC,5
Maruti Swift Ldi BSIII,2007,3425,150000,Diesel,Individual,Manual,Fourth & Above Owner,1248 CC,5
Mahindra Quanto C4,2013,4795,110000,Diesel,Individual,Manual,Second Owner,1493 CC,7
Chevrolet Beat Diesel LT,2014,2534,90000,Diesel,Individual,Manual,Second Owner,936 CC,5
Ford Figo Petrol Titanium,2010,3151,120000,Petrol,Individual,Manual,Third Owner,1196 CC,5
Toyota Innova 2.5 G (Diesel) 8 Seater,2016,13699,65000,Diesel,Individual,Manual,First Owner,2494 CC,8
Maruti Wagon R VXI 1.2,2019,6712,10000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai i10 Sportz,2009,2055,80000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Maruti Ertiga VDI,2013,8219,184000,Diesel,Individual,Manual,First Owner,1248 CC,7
Maruti Wagon R CNG LXI,2013,3699,80000,CNG,Individual,Manual,Second Owner,998 CC,5
Maruti Zen LXi - BS III,2005,822,70000,Petrol,Individual,Manual,Second Owner,993 CC,5
Maruti SX4 Zxi with Leather BSIII,2008,2055,89000,Petrol,Individual,Manual,Second Owner,1586 CC,5
Honda Brio Exclusive Edition,2014,4589,33033,Petrol,Dealer,Manual,First Owner,1198 CC,5
Maruti Swift VDI,2013,7192,69000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Hyundai Grand i10 AT Asta,2015,6370,63063,Petrol,Dealer,Automatic,First Owner,1197 CC,5
Tata Indica V2 eLX,2012,1137,90000,Diesel,Individual,Manual,Second Owner,1396 CC,5
Hyundai EON Era Plus,2017,4110,8000,Petrol,Individual,Manual,First Owner,814 CC,5
Hyundai i20 1.2 Sportz,2012,4795,35000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai i20 1.2 Sportz,2011,4110,45000,Petrol,Individual,Manual,First Owner,1197 CC,5
Fiat Linea 1.3 Active,2011,3425,30000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti 800 Std,2006,1575,59000,Petrol,Individual,Manual,Second Owner,796 CC,4
Maruti Ertiga VXI Petrol,2018,9589,6200,Petrol,Individual,Manual,First Owner,1462 CC,7
Maruti Celerio X ZXI,2020,3425,120000,Petrol,Individual,Manual,Second Owner,998 CC,5
Maruti Wagon R LXI BS IV,2016,4795,70000,Petrol,Individual,Manual,First Owner,998 CC,5
Maruti Omni 5 Str STD,1998,1096,70000,Petrol,Individual,Manual,First Owner,796 CC,5
Mahindra Scorpio S2 7 Seater,2017,11644,110000,Diesel,Individual,Manual,First Owner,2523 CC,7
Hyundai Santro Xing XG,2004,959,158000,Petrol,Individual,Manual,First Owner,,
Chevrolet Spark 1.0 LS,2007,1233,93000,Petrol,Individual,Manual,Third Owner,995 CC,5
Chevrolet Tavera Neo 3 10 Seats BSIII,2014,8219,110000,Diesel,Individual,Manual,First Owner,2499 CC,10
Maruti Alto LX,2007,1849,57000,Petrol,Individual,Manual,First Owner,796 CC,5
Hyundai Accent GLE,2005,2055,120000,Petrol,Individual,Manual,First Owner,1495 CC,5
Tata Indigo CS eLX BS IV,2012,3548,35000,Diesel,Individual,Manual,First Owner,1396 CC,5
Tata Indigo CS eLS BS IV,2012,3014,90000,Diesel,Individual,Manual,First Owner,1396 CC,5
Tata Indigo eCS LX BSIV,2012,3370,35000,Diesel,Individual,Manual,Second Owner,1396 CC,5
Maruti Swift Dzire VXi,2009,3288,120000,Petrol,Individual,Manual,First Owner,1298 CC,5
Hyundai Creta 1.4 E Plus,2018,12959,60000,Diesel,Individual,Manual,First Owner,1396 CC,5
Tata Indigo eCS LX BSIV,2011,2945,70000,Diesel,Individual,Manual,First Owner,1396 CC,5
Maruti Zen LX,1999,685,60000,Petrol,Individual,Manual,Fourth & Above Owner,993 CC,5
Honda Amaze S i-Dtech,2013,4247,100000,Diesel,Individual,Manual,First Owner,1498 CC,5
Hyundai i10 Magna,2008,3014,35000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Swift Vdi BSIII,2008,2671,90000,Diesel,Individual,Manual,Third Owner,1248 CC,5
Hyundai i20 Active 1.2 S,2015,8904,50000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai i20 1.2 Magna,2011,4795,98000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai i20 Asta 1.2,2013,4932,30000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai Elantra SX,2013,7534,50000,Petrol,Individual,Manual,Second Owner,1797 CC,5
Hyundai Grand i10 Sportz,2016,6712,26000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Alto LXi,2011,2671,46000,Petrol,Individual,Manual,Second Owner,796 CC,5
Maruti Alto LX,2010,1712,80000,Petrol,Individual,Manual,Fourth & Above Owner,796 CC,5
Tata Tiago 1.2 Revotron XZ,2019,6301,10000,Petrol,Individual,Manual,First Owner,1199 CC,5
Maruti Alto 800 LXI,2015,3767,16700,Petrol,Individual,Manual,First Owner,796 CC,5
Maruti Swift Dzire VDI,2018,9315,70000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Swift Dzire ZXI,2015,8219,7967,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Swift ZXI Plus,2018,9863,20000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Swift VDI BSIV,2011,4041,50000,Diesel,Individual,Manual,First Owner,,
Renault KWID RXT Optional,2016,4877,9656,Petrol,Individual,Manual,First Owner,799 CC,5
Hyundai i10 Era,2011,3082,50000,Petrol,Individual,Manual,First Owner,1086 CC,5
Ford Freestyle Titanium Diesel BSIV,2019,9932,17000,Diesel,Individual,Manual,First Owner,1498 CC,5
Chevrolet Spark 1.0 LT,2010,1781,50000,Petrol,Individual,Manual,First Owner,995 CC,5
Renault KWID RXT,2015,4110,10000,Petrol,Individual,Manual,First Owner,799 CC,5
